,Store,Dept,Date,Weekly_Sales,IsHoliday,Type,Size,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment
0,1,1.0,2010-02-05,24924.5,False,A,151315.0,,,,,,,,,
1,1,2.0,2010-02-05,50605.27,False,A,151315.0,,,,,,,,,
2,1,3.0,2010-02-05,13740.12,False,A,151315.0,,,,,,,,,
3,1,4.0,2010-02-05,39954.04,False,A,151315.0,,,,,,,,,
4,1,5.0,2010-02-05,32229.38,False,A,151315.0,,,,,,,,,
5,1,6.0,2010-02-05,5749.03,False,A,151315.0,,,,,,,,,
6,1,7.0,2010-02-05,21084.08,False,A,151315.0,,,,,,,,,
7,1,8.0,2010-02-05,40129.01,False,A,151315.0,,,,,,,,,
8,1,9.0,2010-02-05,16930.99,False,A,151315.0,,,,,,,,,
9,1,10.0,2010-02-05,30721.5,False,A,151315.0,,,,,,,,,
10,1,11.0,2010-02-05,24213.18,False,A,151315.0,,,,,,,,,
11,1,12.0,2010-02-05,8449.54,False,A,151315.0,,,,,,,,,
12,1,13.0,2010-02-05,41969.29,False,A,151315.0,,,,,,,,,
13,1,14.0,2010-02-05,19466.91,False,A,151315.0,,,,,,,,,
14,1,16.0,2010-02-05,10217.55,False,A,151315.0,,,,,,,,,
15,1,17.0,2010-02-05,13223.76,False,A,151315.0,,,,,,,,,
16,1,18.0,2010-02-05,4729.5,False,A,151315.0,,,,,,,,,
17,1,19.0,2010-02-05,1947.05,False,A,151315.0,,,,,,,,,
18,1,20.0,2010-02-05,5034.1,False,A,151315.0,,,,,,,,,
19,1,21.0,2010-02-05,8907.63,False,A,151315.0,,,,,,,,,
20,1,22.0,2010-02-05,13623.98,False,A,151315.0,,,,,,,,,
21,1,23.0,2010-02-05,24146.49,False,A,151315.0,,,,,,,,,
22,1,24.0,2010-02-05,8272.9,False,A,151315.0,,,,,,,,,
23,1,25.0,2010-02-05,11609.5,False,A,151315.0,,,,,,,,,
24,1,26.0,2010-02-05,11737.12,False,A,151315.0,,,,,,,,,
25,1,27.0,2010-02-05,2293.0,False,A,151315.0,,,,,,,,,
26,1,28.0,2010-02-05,1085.29,False,A,151315.0,,,,,,,,,
27,1,29.0,2010-02-05,7024.95,False,A,151315.0,,,,,,,,,
28,1,30.0,2010-02-05,5491.0,False,A,151315.0,,,,,,,,,
29,1,31.0,2010-02-05,3455.92,False,A,151315.0,,,,,,,,,
30,1,32.0,2010-02-05,11875.84,False,A,151315.0,,,,,,,,,
31,1,33.0,2010-02-05,8589.77,False,A,151315.0,,,,,,,,,
32,1,34.0,2010-02-05,14350.83,False,A,151315.0,,,,,,,,,
33,1,35.0,2010-02-05,2770.0,False,A,151315.0,,,,,,,,,
34,1,36.0,2010-02-05,120.0,False,A,151315.0,,,,,,,,,
35,1,37.0,2010-02-05,3438.16,False,A,151315.0,,,,,,,,,
36,1,38.0,2010-02-05,115564.35,False,A,151315.0,,,,,,,,,
37,1,40.0,2010-02-05,66780.63,False,A,151315.0,,,,,,,,,
38,1,41.0,2010-02-05,1011.83,False,A,151315.0,,,,,,,,,
39,1,42.0,2010-02-05,8366.71,False,A,151315.0,,,,,,,,,
40,1,44.0,2010-02-05,4674.75,False,A,151315.0,,,,,,,,,
41,1,45.0,2010-02-05,37.44,False,A,151315.0,,,,,,,,,
42,1,46.0,2010-02-05,20837.77,False,A,151315.0,,,,,,,,,
43,1,47.0,2010-02-05,70.0,False,A,151315.0,,,,,,,,,
44,1,48.0,2010-02-05,814.0,False,A,151315.0,,,,,,,,,
45,1,49.0,2010-02-05,11501.46,False,A,151315.0,,,,,,,,,
46,1,51.0,2010-02-05,1.16,False,A,151315.0,,,,,,,,,
47,1,52.0,2010-02-05,3508.04,False,A,151315.0,,,,,,,,,
48,1,54.0,2010-02-05,439.0,False,A,151315.0,,,,,,,,,
49,1,55.0,2010-02-05,21249.31,False,A,151315.0,,,,,,,,,
50,1,56.0,2010-02-05,2567.36,False,A,151315.0,,,,,,,,,
